SUMMARY OF RUN ../../data/case1.data -- 346 time step
Row 1
	        TIME	      NRiter	      LSiter	         FPR	      Volume	        FOPR	        FOPT	        FGPR	        FGPT	        FWPR
	         DAY	           -	           -	        PSIA	         Ft3	     STB/DAY	         STB	    MSCF/DAY	        MSCF	     STB/DAY
	           -	           -	           -	           -	 Hydrocarbon	           -	           -	           -	           -	           -
	     158.000	         297	        1224	 5.32288e+03	 2.65150e+09	 2.00000e+04	 3.16000e+06	 2.48227e+04	 3.98298e+06	 1.43885e-02
	     161.000	         301	        1244	 5.33247e+03	 2.65160e+09	 2.00000e+04	 3.22000e+06	 2.48466e+04	 4.05752e+06	 1.42552e-02
	     164.000	         306	        1270	 5.34207e+03	 2.65170e+09	 2.00000e+04	 3.28000e+06	 2.48701e+04	 4.13213e+06	 1.41228e-02
	     167.000	         311	        1295	 5.35160e+03	 2.65179e+09	 2.00000e+04	 3.34000e+06	 2.48949e+04	 4.20681e+06	 1.39917e-02
	     170.000	         316	        1319	 5.36115e+03	 2.65189e+09	 2.00000e+04	 3.40000e+06	 2.49159e+04	 4.28156e+06	 1.38580e-02
	     173.000	         320	        1340	 5.37065e+03	 2.65198e+09	 2.00000e+04	 3.46000e+06	 2.49439e+04	 4.35639e+06	 1.37276e-02
	     176.000	         325	        1364	 5.38008e+03	 2.65208e+09	 2.00000e+04	 3.52000e+06	 2.49784e+04	 4.43132e+06	 1.36021e-02
	     179.000	         329	        1384	 5.38953e+03	 2.65217e+09	 2.00000e+04	 3.58000e+06	 2.50080e+04	 4.50635e+06	 1.34742e-02
	     180.000	         331	        1393	 5.39261e+03	 2.65221e+09	 2.00000e+04	 3.60000e+06	 2.50166e+04	 4.53137e+06	 1.34310e-02
	     182.000	         334	        1410	 5.39886e+03	 2.65227e+09	 2.00000e+04	 3.64000e+06	 2.50337e+04	 4.58143e+06	 1.33463e-02
	     185.000	         339	        1435	 5.40823e+03	 2.65236e+09	 2.00000e+04	 3.70000e+06	 2.50546e+04	 4.65660e+06	 1.32201e-02
	     188.000	         343	        1457	 5.41760e+03	 2.65246e+09	 2.00000e+04	 3.76000e+06	 2.50707e+04	 4.73181e+06	 1.30928e-02
	     191.000	         347	        1478	 5.42688e+03	 2.65255e+09	 2.00000e+04	 3.82000e+06	 2.50837e+04	 4.80706e+06	 1.29642e-02
	     194.000	         351	        1500	 5.43617e+03	 2.65264e+09	 2.00000e+04	 3.88000e+06	 2.50973e+04	 4.88235e+06	 1.28370e-02
	     197.000	         355	        1520	 5.44543e+03	 2.65274e+09	 2.00000e+04	 3.94000e+06	 2.51127e+04	 4.95769e+06	 1.27111e-02
	     200.000	         359	        1541	 5.45464e+03	 2.65283e+09	 2.00000e+04	 4.00000e+06	 2.51359e+04	 5.03310e+06	 1.25876e-02
	     203.000	         363	        1563	 5.46382e+03	 2.65292e+09	 2.00000e+04	 4.06000e+06	 2.51553e+04	 5.10856e+06	 1.24624e-02
	     206.000	         367	        1585	 5.47297e+03	 2.65302e+09	 2.00000e+04	 4.12000e+06	 2.51737e+04	 5.18409e+06	 1.23399e-02
	     209.000	         371	        1606	 5.48208e+03	 2.65311e+09	 2.00000e+04	 4.18000e+06	 2.51888e+04	 5.25965e+06	 1.22178e-02
	     212.000	         375	        1629	 5.49114e+03	 2.65320e+09	 2.00000e+04	 4.24000e+06	 2.52007e+04	 5.33525e+06	 1.20950e-02
	     215.000	         379	        1651	 5.50021e+03	 2.65329e+09	 2.00000e+04	 4.30000e+06	 2.52129e+04	 5.41089e+06	 1.19714e-02
	     218.000	         383	        1673	 5.50925e+03	 2.65338e+09	 2.00000e+04	 4.36000e+06	 2.52280e+04	 5.48658e+06	 1.18467e-02
	     221.000	         387	        1695	 5.51826e+03	 2.65347e+09	 2.00000e+04	 4.42000e+06	 2.52520e+04	 5.56233e+06	 1.17272e-02
	     224.000	         392	        1721	 5.52724e+03	 2.65356e+09	 2.00000e+04	 4.48000e+06	 2.52652e+04	 5.63813e+06	 1.16051e-02
	     227.000	         396	        1743	 5.53618e+03	 2.65365e+09	 2.00000e+04	 4.54000e+06	 2.52754e+04	 5.71395e+06	 1.14833e-02
	     230.000	         400	        1765	 5.54510e+03	 2.65374e+09	 2.00000e+04	 4.60000e+06	 2.52848e+04	 5.78981e+06	 1.13628e-02
	     233.000	         404	        1786	 5.55398e+03	 2.65383e+09	 2.00000e+04	 4.66000e+06	 2.52943e+04	 5.86569e+06	 1.12411e-02
	     236.000	         408	        1811	 5.56284e+03	 2.65392e+09	 2.00000e+04	 4.72000e+06	 2.53071e+04	 5.94161e+06	 1.11203e-02
	     239.000	         412	        1836	 5.57167e+03	 2.65401e+09	 2.00000e+04	 4.78000e+06	 2.53184e+04	 6.01757e+06	 1.10006e-02
	     242.000	         416	        1860	 5.58047e+03	 2.65410e+09	 2.00000e+04	 4.84000e+06	 2.53265e+04	 6.09355e+06	 1.08804e-02
	     245.000	         420	        1888	 5.58924e+03	 2.65419e+09	 2.00000e+04	 4.90000e+06	 2.53380e+04	 6.16956e+06	 1.07629e-02
	     248.000	         424	        1914	 5.59802e+03	 2.65428e+09	 2.00000e+04	 4.96000e+06	 2.53437e+04	 6.24559e+06	 1.06399e-02
	     251.000	         428	        1938	 5.60676e+03	 2.65437e+09	 2.00000e+04	 5.02000e+06	 2.53511e+04	 6.32165e+06	 1.05198e-02
	     254.000	         432	        1961	 5.61544e+03	 2.65445e+09	 2.00000e+04	 5.08000e+06	 2.53562e+04	 6.39771e+06	 1.03989e-02
	     257.000	         436	        1986	 5.62412e+03	 2.65454e+09	 2.00000e+04	 5.14000e+06	 2.53606e+04	 6.47380e+06	 1.02777e-02
